2026/05/29 13:33:30 main.go:54: Dynamic mode: merchants can be registered via POST /merchants
2026/05/29 13:33:30 main.go:70: Shopping Graph starting on http://localhost:9000
2026/05/29 13:33:30 main.go:71: Search endpoint: POST http://localhost:9000/search
2026/05/29 13:33:50 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:33:51 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:33:52 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:00 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:00 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:10 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:10 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:10 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:14 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:20 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:20 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:20 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:27 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:30 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:30 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:30 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:34 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:38 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:39 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:39 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:40 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:40 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:40 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:40 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:44 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:44 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:45 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:46 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:46 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:47 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:50 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:34:50 poller.go:136: poll marchanda: 1 products
2026/05/29 13:34:50 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:51 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:51 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:51 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:52 poller.go:136: poll marchandb: 1 products
2026/05/29 13:34:52 poller.go:136: poll marchandb: 1 products
2026/05/29 13:35:00 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:00 poller.go:136: poll marchanda: 1 products
2026/05/29 13:35:00 poller.go:136: poll marchandb: 1 products
2026/05/29 13:35:09 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:10 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:10 poller.go:136: poll marchanda: 1 products
2026/05/29 13:35:10 poller.go:136: poll marchandb: 1 products
2026/05/29 13:35:20 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:20 poller.go:136: poll marchanda: 1 products
2026/05/29 13:35:20 poller.go:136: poll marchandb: 1 products
2026/05/29 13:35:30 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:30 poller.go:136: poll marchanda: 1 products
2026/05/29 13:35:30 poller.go:136: poll marchandb: 1 products
2026/05/29 13:35:40 poller.go:136: poll marchanda: 1 products
2026/05/29 13:35:40 poller.go:136: poll marchandb: 1 products
2026/05/29 13:35:40 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:50 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:35:50 poller.go:136: poll marchanda: 1 products
2026/05/29 13:35:50 poller.go:136: poll marchandb: 1 products
2026/05/29 13:36:00 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:36:00 poller.go:136: poll marchanda: 1 products
2026/05/29 13:36:00 poller.go:136: poll marchandb: 1 products
2026/05/29 13:36:10 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:36:10 poller.go:136: poll marchanda: 1 products
2026/05/29 13:36:10 poller.go:136: poll marchandb: 1 products
2026/05/29 13:36:20 poller.go:136: poll monmagasin: 1 products
2026/05/29 13:36:20 poller.go:136: poll marchanda: 1 products
2026/05/29 13:36:20 poller.go:136: poll marchandb: 1 products
